t_event_s,force_N,audio_rms_dbfs,audio_rms_linear,window_start_s,window_end_s
23.85,2.715,-11.89,0.254414,23.8,23.9
23.95,2.837,-11.81,0.256837,23.9,24.0
24.05,2.631,-12.07,0.249142,24.0,24.1
24.15,2.635,-11.85,0.255558,24.1,24.2
24.25,2.802,-11.83,0.256242,24.2,24.3
24.35,2.738,-11.84,0.255906,24.3,24.4
24.45,3.056,-11.72,0.259308,24.4,24.5
24.55,2.748,-11.88,0.254624,24.5,24.6
24.65,2.688,-11.62,0.262442,24.6,24.7
24.75,2.77,-11.79,0.257343,24.7,24.8
24.85,2.721,-11.89,0.254311,24.8,24.9
24.95,2.771,-11.97,0.25192,24.9,25.0
25.05,2.885,-11.67,0.26085,25.0,25.1
25.15,2.772,-11.7,0.260093,25.1,25.2
25.25,2.863,-12.32,0.241969,25.2,25.3
25.35,2.753,-12.37,0.240787,25.3,25.4
25.45,2.938,-12.08,0.248856,25.4,25.5
25.55,2.713,-11.95,0.252575,25.5,25.6
25.65,2.799,-12.24,0.244397,25.6,25.7
25.75,2.876,-12.46,0.238287,25.7,25.8
25.85,2.772,-12.14,0.24706,25.8,25.9
25.95,2.814,-12.09,0.248723,25.9,26.0
26.05,2.912,-11.88,0.254719,26.0,26.1
26.15,2.826,-11.77,0.257826,26.1,26.2
26.25,2.956,-11.9,0.253993,26.2,26.3
26.35,2.992,-11.74,0.258835,26.3,26.4
26.45,2.689,-11.7,0.26009,26.4,26.5
26.55,2.732,-11.97,0.252,26.5,26.6
26.65,2.78,-12.17,0.246454,26.6,26.7
26.75,2.85,-11.89,0.254283,26.7,26.8
26.85,2.855,-11.88,0.254585,26.8,26.9
26.95,2.862,-11.99,0.251583,26.9,27.0
27.05,2.732,-12.26,0.243903,27.0,27.1
27.15,3.003,-12.07,0.249092,27.1,27.2
27.25,2.855,-11.77,0.257986,27.2,27.3
27.35,2.874,-11.84,0.255933,27.3,27.4
27.45,2.843,-11.69,0.26019,27.4,27.5
27.55,2.871,-11.72,0.259535,27.5,27.6
27.65,2.758,-11.69,0.260462,27.6,27.7
27.75,3.018,-11.74,0.258702,27.7,27.8
27.85,2.641,-12.34,0.241613,27.8,27.9
27.95,1.994,-16.27,0.153703,27.9,28.0
28.05,1.475,-16.5,0.149684,28.0,28.1
28.15,0.878,-13.95,0.200775,28.1,28.2
28.25,0.653,-21.27,0.086418,28.2,28.3
28.35,0.584,-20.3,0.096631,28.3,28.4
28.45,0.36,-18.52,0.118592,28.4,28.5
28.55,0.216,-18.44,0.119636,28.5,28.6
28.65,0.342,-20.6,0.093353,28.6,28.7
28.75,0.135,-21.08,0.088331,28.7,28.8
28.85,0.132,-20.15,0.098288,28.8,28.9
28.95,0.091,-23.3,0.068355,28.9,29.0
